Day,Minute,Acti Data
Monday,1214,0
Monday,1215,0
Monday,1216,0
Monday,1217,0
Monday,1218,0
Monday,1219,0
Monday,1220,0
Monday,1221,0
Monday,1222,0
Monday,1223,0
Monday,1224,0
Monday,1225,0
Monday,1226,0
Monday,1227,0
Monday,1228,0
Monday,1229,0
Monday,1230,0
Monday,1231,0
Monday,1232,0
Monday,1233,0
Monday,1234,0
Monday,1235,0
Monday,1236,0
Monday,1237,0
Monday,1238,0
Monday,1239,0
Monday,1240,0
Monday,1241,0
Monday,1242,0
Monday,1243,0
Monday,1244,0
Monday,1245,0
Monday,1246,0
Monday,1247,0
Monday,1248,0
Monday,1249,0
Monday,1250,0
Monday,1251,0
Monday,1252,0
Monday,1253,0
Monday,1254,0
Monday,1255,0
Monday,1256,0
Monday,1257,0
Monday,1258,0
Monday,1259,0
Monday,1260,0
Monday,1261,0
Monday,1262,0
Monday,1263,0
Monday,1264,0
Monday,1265,0
Monday,1266,0
Monday,1267,0
Monday,1268,0
Monday,1269,0
Monday,1270,0
Monday,1271,0
Monday,1272,0
Monday,1273,0
Monday,1274,0
Monday,1275,228
Monday,1276,847
Monday,1277,274
Monday,1278,289
Monday,1279,0
Monday,1280,13
Monday,1281,0
Monday,1282,0
Monday,1283,0
Monday,1284,305
Monday,1285,13
Monday,1286,38
Monday,1287,0
Monday,1288,0
Monday,1289,26
Monday,1290,243
Monday,1291,90
Monday,1292,64
Monday,1293,77
Monday,1294,26
Monday,1295,77
Monday,1296,154
Monday,1297,90
Monday,1298,0
Monday,1299,620
Monday,1300,599
Monday,1301,141
Monday,1302,128
Monday,1303,0
Monday,1304,51
Monday,1305,0
Monday,1306,13
Monday,1307,154
Monday,1308,13
Monday,1309,102
Monday,1310,13
Monday,1311,38
Monday,1312,128
Monday,1313,13
Monday,1314,77
Monday,1315,0
Monday,1316,0
Monday,1317,0
Monday,1318,26
Monday,1319,579
Monday,1320,579
Monday,1321,26
Monday,1322,64
Monday,1323,26
Monday,1324,102
Monday,1325,0
Monday,1326,197
Monday,1327,212
Monday,1328,102
Monday,1329,0
Monday,1330,115
Monday,1331,38
Monday,1332,443
Monday,1333,13
Monday,1334,38
Monday,1335,77
Monday,1336,0
Monday,1337,0
Monday,1338,0
Monday,1339,77
Monday,1340,0
Monday,1341,0
Monday,1342,0
Monday,1343,38
Monday,1344,141
Monday,1345,0
Monday,1346,425
Monday,1347,64
Monday,1348,26
Monday,1349,0
Monday,1350,0
Monday,1351,90
Monday,1352,38
Monday,1353,102
Monday,1354,51
Monday,1355,38
Monday,1356,38
Monday,1357,13
Monday,1358,64
Monday,1359,51
Monday,1360,51
Monday,1361,64
Monday,1362,154
Monday,1363,90
Monday,1364,13
Monday,1365,166
Monday,1366,154
Monday,1367,0
Monday,1368,0
Monday,1369,102
Monday,1370,102
Monday,1371,212
Monday,1372,51
Monday,1373,128
Monday,1374,13
Monday,1375,182
Monday,1376,154
Monday,1377,0
Monday,1378,64
Monday,1379,38
Monday,1380,26
Monday,1381,13
Monday,1382,0
Monday,1383,0
Monday,1384,0
Monday,1385,51
Monday,1386,166
Monday,1387,38
Monday,1388,13
Monday,1389,90
Monday,1390,371
Monday,1391,197
Monday,1392,660
Monday,1393,822
Monday,1394,599
Monday,1395,77
Monday,1396,1114
Monday,1397,353
Monday,1398,305
Monday,1399,259
Monday,1400,128
Monday,1401,90
Monday,1402,243
Monday,1403,660
Monday,1404,822
Monday,1405,289
Monday,1406,0
Monday,1407,115
Monday,1408,121.3712332
Monday,1409,353
Monday,1410,38
Monday,1411,26
Monday,1412,13
Monday,1413,64
Monday,1414,0
Monday,1415,38
Monday,1416,0
Monday,1417,0
Monday,1418,0
Monday,1419,0
Monday,1420,0
Monday,1421,0
Monday,1422,0
Monday,1423,0
Monday,1424,0
Monday,1425,13
Monday,1426,0
Monday,1427,0
Monday,1428,0
Monday,1429,64
Monday,1430,0
Monday,1431,0
Monday,1432,0
Monday,1433,0
Monday,1434,0
Monday,1435,0
Monday,1436,0
Monday,1437,0
Monday,1438,0
Monday,1439,0
Monday,1440,0
Tuesday,1,0
Tuesday,2,0
Tuesday,3,0
Tuesday,4,0
Tuesday,5,0
Tuesday,6,0
Tuesday,7,0
Tuesday,8,0
Tuesday,9,0
Tuesday,10,0
Tuesday,11,0
Tuesday,12,0
Tuesday,13,166
Tuesday,14,77
Tuesday,15,77
Tuesday,16,38
Tuesday,17,26
Tuesday,18,51
Tuesday,19,0
Tuesday,20,0
Tuesday,21,0
Tuesday,22,0
Tuesday,23,0
Tuesday,24,0
Tuesday,25,0
Tuesday,26,13
Tuesday,27,0
Tuesday,28,0
Tuesday,29,0
Tuesday,30,0
Tuesday,31,0
Tuesday,32,0
Tuesday,33,0
Tuesday,34,0
Tuesday,35,0
Tuesday,36,0
Tuesday,37,0
Tuesday,38,0
Tuesday,39,0
Tuesday,40,0
Tuesday,41,0
Tuesday,42,0
Tuesday,43,0
Tuesday,44,0
Tuesday,45,0
Tuesday,46,0
Tuesday,47,26
Tuesday,48,13
Tuesday,49,0
Tuesday,50,0
Tuesday,51,0
Tuesday,52,26
Tuesday,53,0
Tuesday,54,13
Tuesday,55,0
Tuesday,56,0
Tuesday,57,0
Tuesday,58,0
Tuesday,59,128
Tuesday,60,0
Tuesday,61,0
Tuesday,62,0
Tuesday,63,0
Tuesday,64,0
Tuesday,65,0
Tuesday,66,0
Tuesday,67,0
Tuesday,68,0
Tuesday,69,0
Tuesday,70,0
Tuesday,71,0
Tuesday,72,0
Tuesday,73,0
Tuesday,74,13
Tuesday,75,0
Tuesday,76,0
Tuesday,77,0
Tuesday,78,0
Tuesday,79,0
Tuesday,80,77
Tuesday,81,0
Tuesday,82,0
Tuesday,83,0
Tuesday,84,102
Tuesday,85,0
Tuesday,86,0
Tuesday,87,0
Tuesday,88,0
Tuesday,89,228
Tuesday,90,38
Tuesday,91,13
Tuesday,92,64
Tuesday,93,115
Tuesday,94,38
Tuesday,95,0
Tuesday,96,0
Tuesday,97,0
Tuesday,98,0
Tuesday,99,0
Tuesday,100,0
Tuesday,101,0
Tuesday,102,0
Tuesday,103,0
Tuesday,104,0
Tuesday,105,0
Tuesday,106,0
Tuesday,107,0
Tuesday,108,0
Tuesday,109,0
Tuesday,110,0
Tuesday,111,0
Tuesday,112,0
Tuesday,113,0
Tuesday,114,0
Tuesday,115,0
Tuesday,116,0
Tuesday,117,0
Tuesday,118,0
Tuesday,119,0
Tuesday,120,0
Tuesday,121,0
Tuesday,122,0
Tuesday,123,115
Tuesday,124,0
Tuesday,125,0
Tuesday,126,38
Tuesday,127,0
Tuesday,128,0
Tuesday,129,90
Tuesday,130,0
Tuesday,131,13
Tuesday,132,13
Tuesday,133,13
Tuesday,134,0
Tuesday,135,0
Tuesday,136,13
Tuesday,137,26
Tuesday,138,0
Tuesday,139,0
Tuesday,140,13
Tuesday,141,0
Tuesday,142,0
Tuesday,143,0
Tuesday,144,0
Tuesday,145,0
Tuesday,146,0
Tuesday,147,0
Tuesday,148,0
Tuesday,149,0
Tuesday,150,115
Tuesday,151,13
Tuesday,152,0
Tuesday,153,0
Tuesday,154,0
Tuesday,155,38
Tuesday,156,0
Tuesday,157,166
Tuesday,158,0
Tuesday,159,0
Tuesday,160,0
Tuesday,161,0
Tuesday,162,0
Tuesday,163,0
Tuesday,164,64
Tuesday,165,51
Tuesday,166,38
Tuesday,167,13
Tuesday,168,51
Tuesday,169,0
Tuesday,170,0
Tuesday,171,0
Tuesday,172,0
Tuesday,173,0
Tuesday,174,0
Tuesday,175,0
Tuesday,176,0
Tuesday,177,0
Tuesday,178,0
Tuesday,179,0
Tuesday,180,0
Tuesday,181,0
Tuesday,182,38
Tuesday,183,0
Tuesday,184,0
Tuesday,185,0
Tuesday,186,0
Tuesday,187,0
Tuesday,188,26
Tuesday,189,0
Tuesday,190,0
Tuesday,191,38
Tuesday,192,0
