Subj_1,Subj_2,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_27,Subj_28,Subj_30,Subj_31,Subj_33,Subj_34
134,0,90.4,0,0,0,0,0,6.25,144,0,62.4,2.4,0,59.8,0,0,146,31.4,0,0,0,0,232.8,73.4,129.4,0,35.6,112.8687445
219.8,54.8,0,0,0,0,2.6,9.4,0,0,0,5,0,0,17.6,0,0,111.6,19.2,0,183.6,0,0,165.6,55,17.5,13,41.6,317.6
0,15.4,0,2,2.4,23,12.6,0,0,0,0,5,21.6,5,38.2,0,10.2,39.4,26.6,0,58.4,0,0,292.4,35.8,53.6,0,12.6,124.4
15.2,12.8,34.2,0,9.6,18,0,0,28.25,92.2,0,35.6,26.6,0,0,0,0,7.6,26.6,0,14.4,37,0,199.8,55.6,18,0,10.2,148.8
20,7.6,142,9,51.6,0,76.2,0,0,0,0,0,55.6,0,0,0,10.2,78.8,9.6,0,48.8,0,0,160.2,19.3,33.5,20,2.6,140.6
0,43.4,197.6,0,0,0,70.6,0,0,28.2,10,0,33.8,0,0,0,41,141.4,83.2,0,9.6,16,0,294,18,29,34.6,77.4,87
7.6,7.6,101.4,0,0,0,7.6,0,0,2.6,0,0,16.8,0,0,0,0,81.4,12,0,9.6,0,0,146.6,11.1,102.5,94.8,10.2,163.4
365,0,4.8,0,2.4,0,0,7,0,39.4,0,0,56.6,0,0,0,15.4,51.2,156.4,0,14.4,0,39.9,248,31.1,179.7,20,50.6,239.6
311.8,0,80.2,0,45.8,0,2.6,49.8,0,0,0,0,121.6,0,20,0,23,75.6,26.6,0,39.6,0,5.6,202.6,2.9,160.4,3,2.6,3.8
0,0,113,0,124.6,0,0,2.4,0,12.8,0,0,54.4,0,0,0,28.2,85,16.8,0,73.4,1,0,303,14,30.5,0,0,32.4
35.6,45.6,45.8,0,150.8,0,0,41.4,74.75,125,0,0,55.6,0,10,0,0,33.4,233.8,9.5,60.6,0,0,223.6,16.4,20.5,0,0,2
0,7.6,124.6,0,120.2,2.6,0,2.4,0,0,0,5,111.6,38.6,35.6,0,0,81.4,48.6,0,17,0,0,100,43.5,88.6,54.8,0,1
0,2.6,150.8,0,37.2,0,0,4.6,9.5,2.6,0,86.8,290.2,0,22.6,0,0,25.6,2.4,0,21.8,0,21.4,149.2,15.4,68.8,0,0,8.6
0,12.8,158.8,0,9.6,25.6,0,0,0,36.4,0,15,148.2,0,80.8,0,0,132,4.8,0,0,0,0,176.6,29,93.7,0,17.6,30
25,23,151.2,0,9.6,0,0,0,0,0,0,0,100,0,148,0,10.2,54.8,12,0,2.4,0,58.8,274,22.1,87.1,0,24.3026308,0
114,7.6,0,21.5,14.4,0,0,0,0,0,0,62.8,142,22.6,49.6,0,0,54.8,24.2,6.25,0,5,6.2,117,87.9,48,0,0,1
44.6,0,0,48.6,19.4,0,0,0,78.5,0,0,25,93.8,0,183.8,0,15.4,57.8,14.4,15.75,19.4,44.2,88.1,409.2,95.93019592,46.5,24,0,0
0,7.6,33.8,0.5,73.4,7.6,0,2.4,0,25.6,0,186.2,108.6,0,74.2,0,52.3,217.6,2.4,0,76.8,0,40.2,205,16.8,52.5,0,0,0
0,0,14.4,0,76.8,0,32.6,9.4,0,10.2,0,134.6,117.4,0,7.6,0,32.7,57.4,24.2,0,81.2,3,7.2,253.6,96.9,93.9,14,35.2,2.8
0,0,87.4,0,80.2,0,5,35.8,25,0,0,0,153.6,0,82.4,0,0,88.6,19.4,0,19.2,0,108,186.8,44.7,125,0,10,0
326.6,2.6,48.2,0,87,0,0,21,0,10.2,0,0,327,12.6,108,0,0,25.6,45.8,0,9.6,0,48.3,229.6,96.1,40,0,0,45.4
15,0,0,22.8,83.6,0,7.6,2.4,15.75,0,0,27.6,342.8,0,138.6,0,0,18,14.4,0,12,0,26.9,428.2,59.2,61.2,0,7.6,4.8
15,0,0,4,2.4,30.8,7.6,0,0,0,0,32.6,164.6,0,138.6,0,23.8,47.6,70,0,9.6,0,8.7,421.2,51.3,27.5,0,5,2
69.2,0,69,19,109.2,2.6,0,21,0,0,0,10.2,91.8,25.2,132.4,0,0,85,0,0,36.2,0,7.1,297,54.2,77.2,0,2.6,0
92.4,0,0,29.5,0,2.6,2.6,0,44.5,0,0,12.6,283,0,59.8,4.333333333,14.1,51.8,43,3.25,34.2,0,1.5,135.6,14.1,32.5,0,52.2,1
5,45.6,0,83.1,0,0,0,61,3.25,33.2,0,37.8,196.6,10,112.4,0,3.9,81.4,0,25,21.8,0,32.3,162.8,9.7,199.9,0,17.6,7.8
101.4,12.8,0,165.9,113.4,0,5,67.4,201.5,0,0,0,60.2,0,134,0,0,51.8,0,0,12,1,5.7,283,68.7,220,0,2.6,1
2.6,0,19.4,40.9,133.4,7.6,116,74,0,5.2,15,20,24.2,15,27.6,0,0,124,0,28.25,16.8,112,4.1,636,44.7,31.1,16,17.6,3.8
10,0,0,65.3,0,0,15,0,0,10.2,10,0,12,2.6,0,0,0,77.8,0,9.5,0,21,1,484.6,19.4,146,0,0,75.8
30.2,0,14.4,43,0,0,20,44.2,0,0,7.6,10,48.2,7.6,0,34,12.8,116.2,0,0,0,0,0,502.8,24.1,65,0,2.6,13.4
0,0,57.4,0,4.8,0,0,9.4,0,0,7.6,0,71.8,7.6,7.6,0,0,125,2.4,6.25,4.8,0,68.6,236.2,6.7,71.2,5,64.8,0
0,0,0,18.3,0,0,129.6,41.4,3.25,10.2,0,0,56,0,10,0,12.8,153.6,0,0,0,35.2,144.4,271,7.3,39,0,7.6,19.2
35.6,25.6,0,58.2,90.4,0,155.6,116.8,0,92.2,0,17.6,61.2,0,22.6,0,20.8,119.8,0,0,0,0,78.1,340.4,89.2,59.5,0,5,0
20,0,0,1,123.2,0,0,108,0,0,2.6,0,53.6,22.6,59.4,0,1.3,39,0,15.75,2.4,0,5.1,279.6,44.2,146.7,0,0,8.6
79.8,0,7.2,2,113,2.6,35.6,165.8,0,7.6,7.6,0,31.2,17.6,47.6,0,32,0,9.6,25,73.8,0,0,209.2,21.7,109.8,42.6,35.2,3.8
0,0,2.4,0,4.8,0,2.6,30.2,0,0,0,53.8,31.4,0,12.6,0,11.5,0,45.8,18.75,12,51.8,51.2,189.4,21.5,147.5,0,2.6,1
0,0,62.8,0.5,154.6,0,0,83.8,0,0,0,0,64.6,32.6,153,8.666666667,9,2.6,0,0,0,0,139.7,259.6,27.5,49.6,0,0,0
0,5.2,0,0,173,0,0,18.6,9.5,0,0,0,69,0,38.6,0,33.2,0,0,6.25,26.6,0,5.2,361.6,70,61.2,0,43.6,0
0,30.8,63.2,3.5,454.2,0,0,90.2,0,0,2.6,2.6,24.2,0,186.2,0,11.6,18,64.8,12.75,12,13,60.3,209.6,71.3,100.3,0,30.2,5.8
41.6,2.6,196,0,24,18,5,152,0,0,7.6,0,47.8,0,84.2,0,0,2.6,14.4,0,69,135,0,214,0,176,4,12.6,38.8
17.6,0,145,10.5,234.8,0,2.6,33,0,0,0,0,50.8,0,0,42.66666667,0,20.4,31.4,0,26.4,0,0,204.2,0,167.2,0,0,1
12.6,0,0,0,155,0,0,0,0,0,17.6,0,63.6,0,0,0,7.7,2.6,0,3.25,0,65.2,40,196.4,17.3,125.1,0,0,2.8
2.6,0,137.6,3,124.2,39.4,5,0,0,39.4,10,0,26.6,0,0,141.6666667,5.1,2.6,12,0,7.2,0,55.8,172,12.6,178.7,0,10,2.8
7.6,10.2,16.8,8,172,0,0,4.6,0,0,32.6,0,39.21162871,0,0,0,73.3,0,29,44.5,7.2,2,32.8,65.8,201.5,57,0,2.6,12.6
0,23,0,17,4.8,0,2.6,41.4,0,0,15,0,107.2,0,30.2,4.333333333,89.9,42.4,9.6,0,0,26,7.2,97.4,26.1,60,0,2.6,18.2
10,0,0,0,43,0,2.6,120,0,0,7.6,27.6,38.8,2.6,0,0,133.7,0,89.4,0,17,0,0,251.2,16,30.5,0,17.6,3.8
7.6,0,0,0,0,0,0,88.6,0,5.2,7.6,40.2,36.2,0,0,0,39.6,0,12,0,19.4,0,6.1,266.6,41.2,17,180.6,2.6,9.6
25,7.6,0,0,9.6,0,7.6,4.6,0,172,0,17.6,7.2,0,0,76,5.1,2.6,38.6,0,85,0,16.4,113,23.2,134.8,54,5,1
10,0,0,1,0,0,10,2.4,0,10.2,5,5,7.2,52.6,0,30,0,85.6,113,0,0,0,52.7,59.4,79,91.2,62.2,7.6,0
289,0,0,0,0,0,10,0,0,0,0,40.2,21.6,15,0,38.33333333,0,152.6,192.8,6.25,4.8,99.4,32.3,128.2,56.5,32.5,128,57.2,2.8
143.6,18,109.2,0,4.8,0,0,4.8,0,0,0,40.2,19.2,35.6,0,0,0,235.6,174.4,9.5,29,22,0,189.8,26.8,28,100.2,35.2,0
315.8,7.6,0,0.5,0,2.6,0,0,0,0,12.6,0,0,103,41.6,0,21.7,134.8,40,47,2.4,1,0,306.2,42.5,92.3,0,89.8,0
411.6,28.2,0,2.5,7.2,0,0,0,0,7.8,12.6,5,16.8,0,0,0,2.6,92.6,87,9.5,60.4,0,0,120.6,5.3,62.7,89.4,7.6,0
171.8,7.8,0,0,0,5.2,0,2.4,0,0,10,12.6,2.4,0,0,0,12.8,36.4,19.2,3.25,31.4,0,2,184.4,75.4,28,18,101.4,0
57.8,36,0,0,0,0,0,0,0,0,37.6,25,29,0,30.2,4.333333333,50.4,48.2,327,9.5,24.2,26,0,184,39.2,113.9,0,101.4,0
2.6,99.4,0,0,0,0,0,14,44.5,0,0,10,4.8,0,50.6,8.666666667,79.8,0,40,0,0,0,27.6,304.2,39,14.5,14,75.8,2.8
173.8,0,0,1,37.2,0,7.6,2.4,9.5,0,0,7.6,17,0,131,111.6666667,5.2,0,45.8,99.75,80.6,51.2,0,278.4,74.9,33.5,0,35.2,6.8
79.4,2.6,97.4,0,213.8,0,0,0,3.25,2.6,7.6,0,33.8,0,166.2,0,24.3,0,21.6,22,238.6,8,0,122.6,26.6,66.2,0,105.4,0
119,5.2,0,11,274.8,0,0,0,138.75,0,17.6,10,0,0,23.50509276,0,7.7,0,41,18.75,72.4,0,7.2,299.4,76.7,0,0,65.8,0
